"","coeff..2..","rsqrd","pvalue..2..","CORRECTION_VALUE"
"1",0.0130097954003377,0.0121917986710265,2.13682846408295e-43,1
"2",0.0136073996117484,0.0119367157103662,1.60834438795948e-42,2
"3",0.014253994096335,0.0116525440075028,1.5233626547793e-41,3
"4",0.0149544329179125,0.0113345389441031,1.88494800130203e-40,4
"5",0.0157136364391848,0.010976882414238,3.19006551200909e-39,5
"6",0.0165361487222644,0.0105723822082656,7.81522645509983e-38,6
"7",0.0174252644401804,0.0101120770515863,2.97455867654378e-36,7
"8",0.0183813389997312,0.00958472153219144,1.92207050145546e-34,8
"9",0.0193985176688942,0.00897613000798261,2.35831170226178e-32,9
"10",0.020458320282024,0.0082683906499197,6.32941903125524e-30,10
"11",0.0215167538606087,0.00743907641286351,4.43752937799897e-27,11
"12",0.0224775367031747,0.00646094730729854,1.00918181739383e-23,12
"13",0.023134011097621,0.00530377999788673,9.49289608405763e-20,13
"14",0.023036354229945,0.00394358118153418,4.52345806968718e-15,14
"15",0.0211693691715837,0.00239644319979135,1.00363724514759e-09,15
"16",0.0151234547904603,0.000836153231648943,0.000309741038244707,16
"17",-0.00109297841088799,2.81152820655734e-06,0.834358311772633,17
"18",-0.0419871382166719,0.00253591009128428,3.29343116575357e-10,18
"19",-0.130042185105077,0.0153716262151314,2.45426330213466e-54,19
"20",-0.230416390550829,0.040556523154666,4.63611891386129e-142,20
