"","coeff..2..","rsqrd","pvalue..2..","CORRECTION_VALUE","K"
"1",0.30198168655527,0.0301165997315316,2.26399287339203e-27,1,NA
"2",0.30198168655527,0.0301165997315316,2.26399287339203e-27,2,NA
"3",0.30198168655527,0.0301165997315316,2.26399287339203e-27,3,NA
"4",0.30198168655527,0.0301165997315316,2.26399287339203e-27,4,NA
"5",0.30198168655527,0.0301165997315316,2.26399287339203e-27,5,NA
"6",0.30198168655527,0.0301165997315316,2.26399287339203e-27,6,NA
"7",0.30198168655527,0.0301165997315316,2.26399287339203e-27,7,NA
"8",0.30198168655527,0.0301165997315316,2.26399287339203e-27,8,NA
"9",0.30198168655527,0.0301165997315316,2.26399287339203e-27,9,NA
"10",0.30198168655527,0.0301165997315316,2.26399287339203e-27,10,NA
"11",0.30198168655527,0.0301165997315316,2.26399287339203e-27,11,NA
"12",0.30198168655527,0.0301165997315316,2.26399287339203e-27,12,NA
"13",0.30198168655527,0.0301165997315316,2.26399287339203e-27,13,NA
"14",0.30198168655527,0.0301165997315316,2.26399287339203e-27,14,NA
"15",0.30198168655527,0.0301165997315316,2.26399287339203e-27,15,NA
"16",0.30198168655527,0.0301165997315316,2.26399287339203e-27,16,NA
"17",0.30198168655527,0.0301165997315316,2.26399287339203e-27,17,NA
"18",0.30198168655527,0.0301165997315316,2.26399287339203e-27,18,NA
"19",0.30198168655527,0.0301165997315316,2.26399287339203e-27,19,NA
"20",0.30198168655527,0.0301165997315316,2.26399287339203e-27,20,NA
"21",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,5
"22",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,6
"23",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,7
"24",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,8
"25",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,9
"26",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,10
"27",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,11
"28",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,12
"29",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,13
"30",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,14
"31",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,15
"32",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,16
"33",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,17
"34",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,18
"35",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,19
"36",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,20
"37",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,21
"38",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,22
"39",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,23
"40",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,24
"41",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,25
"42",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,26
"43",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,27
"44",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,28
"45",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,29
"46",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,30
"47",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,31
"48",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,32
"49",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,33
"50",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,34
"51",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,35
"52",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,36
"53",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,37
"54",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,38
"55",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,39
"56",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,40
"57",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,41
"58",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,42
"59",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,43
"60",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,44
"61",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,45
"62",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,46
"63",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,47
"64",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,48
"65",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,49
"66",0.30198168655527,0.0301165997315316,2.26399287339203e-27,NA,50
